INFO 2025-04-04 20:47:37,325 basehttp 94964 6250934272 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2025-04-04 20:47:37,326 basehttp 94964 6284587008 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-04-04 20:47:37,326 basehttp 94964 6267760640 "GET /static/admin/js/inlines.js HTTP/1.1" 200 15526
INFO 2025-04-04 20:47:37,366 basehttp 94964 6217281536 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-04-04 20:47:37,367 basehttp 94964 6284587008 "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
INFO 2025-04-04 20:47:37,367 basehttp 94964 6250934272 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-04-04 20:47:37,367 basehttp 94964 6267760640 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11921
INFO 2025-04-04 20:47:37,375 basehttp 94964 6200455168 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15292
INFO 2025-04-04 20:47:37,377 basehttp 94964 6267760640 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-04-04 20:47:37,382 basehttp 94964 6200455168 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-04-04 20:47:37,382 basehttp 94964 6267760640 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-04-04 20:47:37,506 basehttp 94964 6250934272 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-04-04 20:47:37,507 basehttp 94964 6217281536 "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
INFO 2025-04-04 20:47:37,507 basehttp 94964 6200455168 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2025-04-04 20:47:37,508 basehttp 94964 6267760640 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-04-04 20:47:37,591 basehttp 94964 6284587008 "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2025-04-04 20:49:54,278 autoreload 94964 8157100096 /Users/dev2/Documents/Productivity Software/productivity_software/productivity_software/settings.py changed, reloading.
INFO 2025-04-04 20:49:56,212 autoreload 97658 8157100096 Watching for file changes with StatReloader
INFO 2025-04-04 20:50:06,499 autoreload 97658 8157100096 /Users/dev2/Documents/Productivity Software/productivity_software/productivity_software/urls.py changed, reloading.
INFO 2025-04-04 20:50:06,920 autoreload 97765 8157100096 Watching for file changes with StatReloader
